代碼,商品,均價
1587,吉茂,24.71
2115,六暉-KY,30.62
2201,裕隆,75.05
2204,中華,85.1
2206,三陽工業,72.64
2207,和泰車,690.72
2227,裕日車,187.17
2228,劍麟,87.66
2231,為升,144.27
2233,宇隆,100.64
2236,百達-KY,67.77
2239,英利-KY,67.06
2241,艾姆勒,37.26
2243,宏旭-KY,15.12
2247,汎德永業,309.48
2250,IKKA-KY,70.06
2497,怡利電,63.31
3346,麗清,46.75
4551,智伸科,133.83
4557,永新-KY,102.25
4569,六方科-KY,90.87
4581,光隆精密-KY,73.78
6288,聯嘉,29.7
6605,帝寶,122.28
2302,麗正,17.59
2303,聯電,43.94
2329,華泰,49.18
2330,台積電,540.84
2337,旺宏,30.25
2338,光罩,68.78
2340,台亞,48.83
2342,茂矽,34.97
2344,華邦電,25.77
2351,順德,99.73
2363,矽統,27.48
2369,菱生,17.14
2379,瑞昱,414.19
2388,威盛,110.58
2401,凌陽,30.81
2408,南亞科,65.21
2434,統懋,30.32
2436,偉詮電,59.84
2441,超豐,60.54
2449,京元電子,63.02
2451,創見,70.62
2454,聯發科,673.74
2458,義隆,114.33
2481,強茂,63.56
3006,晶豪科,71.16
3014,聯陽,137.09
3016,嘉晶,58.06
3034,聯詠,387.11
3035,智原,345.34
3041,揚智,17.17
3094,聯傑,30.76
3189,景碩,103.02
3257,虹冠電,80.24
3413,京鼎,179.37
3443,創意,1358.49
3450,聯鈞,42.64
3530,晶相光,70.58
3532,台勝科,139.15
3545,敦泰,70.49
3583,辛耘,238.91
3588,通嘉,53.87
3592,瑞鼎,299.2
3661,世芯-KY,1977.58
3686,達能,12.74
3711,日月光投控,107.28
4919,新唐,125.62
4952,凌通,49
4961,天鈺,128.3
4967,十銓,61.43
4968,立積,149.42
5222,全訊,171.69
5269,祥碩,902.27
5285,界霖,78.14
5471,松翰,43.69
6202,盛群,63.19
6239,力成,94.19
6243,迅杰,44.29
6257,矽格,51.27
6271,同欣電,125.09
6415,矽力*-KY,293.38
6451,訊芯-KY,96.54
6515,穎崴,603.18
6525,捷敏-KY,66
6531,愛普*,322.45
6533,晶心科,430.85
6552,易華電,34.19
6573,虹揚-KY,15.09
6695,芯鼎,38.54
6719,力智,217.61
6756,威鋒電子,201.27
6770,力積電,27.15
6789,采鈺,206.08
6799,來頡,156.5
8016,矽創,235.38
8028,昇陽半導體,55.63
8081,致新,230.22
8110,華東,13.32
8131,福懋科,38.83
8150,南茂,36.41
8261,富鼎,84.53
8271,宇瞻,51.01
3105,穩懋,132.05
3122,笙泉,24.48
3141,晶宏,89.1
3169,亞信,103.39
3178,公準,89.12
3227,原相,114.15
3228,金麗科,100.98
3260,威剛,76.78
3264,欣銓,58.61
3265,台星科,84.2
3268,海德威,20.81
3317,尼克森,54.03
3372,典範,13.38
3374,精材,110.28
3438,類比科,61.37
3527,聚積,90.29
3529,力旺,1821.23
3555,重鵬,37.23
3556,禾瑞亞,60.35
3567,逸昌,41.14
3581,博磊,31.38
3675,德微,284.84
3680,家登,347.02
3707,漢磊,75.48
4923,力士,40.44
4945,陞達科技,61.79
4951,精拓科,63.76
4966,譜瑞-KY,821.02
4971,IET-KY,56.44
4973,廣穎,28.87
4991,環宇-KY,30.7
5236,凌陽創新,123.95
5272,笙科,25.12
5274,信驊,2319.79
5299,杰力,108.84
5302,太欣,9.4
5314,世紀,28.76
5344,立衛,17.03
5347,世界,70.79
5351,鈺創,39.85
5425,台半,80.84
5468,凱鈺,16.85
5483,中美晶,154.76
5487,通泰,26.2
6103,合邦,34.92
6104,創惟,100.18
6129,普誠,28.76
6138,茂達,128.56
6147,頎邦,68.59
6182,合晶,41.23
6198,瑞築,30.79
6223,旺矽,200.44
6229,研通,25.51
6233,旺玖,23.4
6237,驊訊,35.77
6261,久元,63.35
6287,元隆,18.21
6291,沛亨,169.93
6411,晶焱,103.01
6435,大中,99.92
6457,紘康,44.9
6462,神盾,83.52
6485,點序,84.17
6488,環球晶,457.64
6494,九齊,59.5
6510,精測,488.68
6532,瑞耘,57.68
6548,長科*,34.82
6568,宏觀,124.63
6640,均華,109.68
6643,M31,861.38
6651,全宇昕,70.73
6679,鈺太,352.71
6683,雍智科技,198.17
6684,安格,43.51
6693,廣閎科,67.93
6708,天擎,44.86
6716,應廣,81
6732,昇佳電子,301.44
6788,華景電,126.34
6823,濾能,68
7556,意德士,101.54
8024,佑華,20.57
8040,九暘,41.9
8054,安國,31.39
8086,宏捷科,88.65
8088,品安,33.61
8227,巨有科技,159.48
8277,商丞,11.25
8299,群聯,376.31
2301,光寶科,147.1
2305,全友,20.36
2324,仁寶,35.55
2331,精英,29.73
2352,佳世達,45.24
2353,宏碁,37.87
2356,英業達,58
2357,華碩,388.69
2362,藍天,32.56
2364,倫飛,79.94
2365,昆盈,11.29
2376,技嘉,318.79
2377,微星,174.65
2380,虹光,9.72
2382,廣達,261.07
2387,精元,44.96
2395,研華,346.55
2397,友通,67.54
2399,映泰,23.96
2405,輔信,14.79
2417,圓剛,20.62
2425,承啟,53.98
2465,麗臺,35.94
2495,普安,20.64
3002,歐格,13.32
3005,神基,70.26
3013,晟銘電,43.44
3017,奇鋐,357.1
3022,威強電,79.66
3046,建碁,69.36
3057,喬鼎,11.91
3060,銘異,19.17
3231,緯創,121.65
3416,融程電,127.71
3494,誠研,6.85
3515,華擎,260.94
3652,精聯,27.99
3701,大眾控,60
3706,神達,45.41
3712,永崴投控,31.36
4916,事欣科,37.85
4938,和碩,77.25
5215,科嘉-KY,46.09
5258,虹堡,105.87
6117,迎廣,28.35
6128,上福,32.76
6166,凌華,64.8
6206,飛捷,64.44
6230,尼得科超眾,152.74
6235,華孚,132.92
6277,宏正,81.93
6414,樺漢,269.79
6579,研揚,173.34
6591,動力-KY,51.99
6669,緯穎,1659.72
8114,振樺電,102.55
8163,達方,42.17
8210,勤誠,229.85
9912,偉聯,10.1
1569,濱川,24.47
3071,協禧,36.31
3088,艾訊,100.84
3211,順達,79.43
3213,茂訊,65
3272,東碩,33.46
3287,廣寰科,24.61
3323,加百裕,30.84
3325,旭品,34.35
3349,寶德,17.33
3479,安勤,99.73
3483,力致,145.98
3521,鴻翊,22.53
3540,曜越,45.78
3577,泓格,81.43
3594,磐儀,50.32
3611,鼎翰,240.63
3625,西勝,14.54
3693,營邦,541.86
3709,鑫聯大投控,23.01
4924,欣厚-KY,12.4
4931,新盛力,34.31
4987,科誠,59.11
5223,安力-KY,38.34
5289,宜鼎,267.23
5356,協益,26.53
5386,青雲,53.86
5426,振發,13.81
5438,東友,16.89
5465,富驊,44.35
5474,聰泰,124.26
5490,同亨,21.72
6121,新普,303.76
6150,撼訊,77.68
6160,欣技,25.37
6161,捷波,39.11
6188,廣明,104.95
6228,全譜,11.6
6276,安鈦克,41.63
6441,廣錠,53.83
6570,維田,59.62
6577,勁豐,90.82
6680,鑫創電子,84.56
8050,廣積,103.66
8076,伍豐,32.49
8234,新漢,50.24
8410,森田,54.18
2323,中環,13.36
2349,錸德,8.54
2374,佳能,22.16
2393,億光,48.59
2406,國碩,15.84
2409,友達,17.81
2426,鼎元,17.47
2429,銘旺科,16.08
2438,翔耀,22.56
2466,冠西電,36.83
2486,一詮,47.69
2489,瑞軒,12.24
2491,吉祥全,14.01
3008,大立光,2027.73
3019,亞光,62.67
3024,憶聲,17.02
3031,佰鴻,17.08
3038,全台,34.21
3049,和鑫,9.63
3050,鈺德,14.97
3051,力特,31.64
3059,華晶科,33.79
3149,正達,13.93
3356,奇偶,48.11
3406,玉晶光,370.12
3437,榮創,17.6
3454,晶睿,170.4
3504,揚明光,63.73
3535,晶彩科,18.1
3543,州巧,20.87
3563,牧德,192.1
3576,聯合再生,16.27
3591,艾笛森,24.18
3622,洋華,39.4
3673,TPK-KY,34.78
